income,debt,loan_amount,employment_type,property_value,default
500000,100000,200000,salaried,600000,0
300000,150000,250000,self,200000,1
800000,200000,300000,salaried,900000,0
250000,120000,150000,unemployed,0,1
600000,100000,400000,self,700000,0
450000,220000,350000,student,0,1
900000,150000,500000,salaried,1000000,0
200000,100000,120000,unemployed,0,1
750000,250000,450000,self,800000,0
400000,180000,200000,student,300000,1
700000,120000,350000,salaried,650000,0
350000,200000,220000,self,0,1
850000,160000,420000,salaried,900000,0
280000,140000,160000,student,0,1
620000,150000,280000,self,500000,0
